"...1","Site","Clinic","Participation"
2020-04-01,"11","East Garland",4027
2020-04-01,"17","Northwest Highway",2877
2020-04-01,"24","North Dallas",5508
2020-04-01,"25","Ledbetter",8747
2020-04-01,"26","John West/Buckner",3928
2020-04-01,"30","Duncanville",2915
2020-04-01,"32","West Garland",4157
2020-04-01,"34","Medical District",859
2020-04-01,"37","Abrams Road",3455
2020-04-01,"39","Mesquite",3077
2020-05-01,"1","MLK Center",612
2020-05-01,"3","Westmoreland",2845
2020-05-01,"5","Lake June",7237
2020-05-01,"7","Carrollton",1489
2020-05-01,"8","Grand Prairie",4344
2020-05-01,"9","Irving",5404
2020-05-01,"10","Highland Hills",806
2020-05-01,"11","East Garland",3874
2020-05-01,"17","Northwest Highway",3063
2020-05-01,"24","North Dallas",5933
2020-05-01,"25","Ledbetter",9495
2020-05-01,"26","John West/Buckner",3761
2020-05-01,"30","Duncanville",2552
2020-05-01,"32","West Garland",4504
2020-05-01,"34","Medical District",978
2020-05-01,"37","Abrams Road",3607
2020-05-01,"39","Mesquite",2786
2020-06-01,"1","MLK Center",179
2020-06-01,"3","Westmoreland",3091
2020-06-01,"5","Lake June",7545
2020-06-01,"7","Carrollton",1256
2020-06-01,"8","Grand Prairie",4465
2020-06-01,"9","Irving",5669
2020-06-01,"10","Highland Hills",540
2020-06-01,"11","East Garland",3994
2020-06-01,"17","Northwest Highway",3227
2020-06-01,"24","North Dallas",6030
2020-06-01,"25","Ledbetter",9818
2020-06-01,"26","John West/Buckner",3952
2020-06-01,"30","Duncanville",2480
2020-06-01,"32","West Garland",4592
2020-06-01,"34","Medical District",979
2020-06-01,"37","Abrams Road",3663
2020-06-01,"39","Mesquite",2766
2020-07-01,"1","MLK Center",24
2020-07-01,"3","Westmoreland",3467
2020-07-01,"5","Lake June",7864
2020-07-01,"7","Carrollton",1443
2020-07-01,"8","Grand Prairie",4202
2020-07-01,"9","Irving",6101
2020-07-01,"10","Highland Hills",212
2020-07-01,"11","East Garland",4294
2020-07-01,"17","Northwest Highway",3143
2020-07-01,"24","North Dallas",5923
2020-07-01,"25","Ledbetter",9962
2020-07-01,"26","John West/Buckner",4056
2020-07-01,"30","Duncanville",2518
2020-07-01,"32","West Garland",4772
2020-07-01,"34","Medical District",511
2020-07-01,"37","Abrams Road",3881
2020-07-01,"39","Mesquite",2874
2020-08-01,"1","MLK Center",0
2020-08-01,"3","Westmoreland",3635
2020-08-01,"5","Lake June",7704
2020-08-01,"7","Carrollton",1571
2020-08-01,"8","Grand Prairie",3890
2020-08-01,"9","Irving",6289
2020-08-01,"10","Highland Hills",65
2020-08-01,"11","East Garland",4365
2020-08-01,"17","Northwest Highway",3097
2020-08-01,"24","North Dallas",5554
2020-08-01,"25","Ledbetter",9303
2020-08-01,"26","John West/Buckner",4195
2020-08-01,"30","Duncanville",2512
2020-08-01,"32","West Garland",4658
2020-08-01,"34","Medical District",330
2020-08-01,"37","Abrams Road",3707
2020-08-01,"39","Mesquite",3062
2020-09-01,"1","MLK Center",0
2020-09-01,"3","Westmoreland",3722
2020-09-01,"5","Lake June",7601
2020-09-01,"7","Carrollton",1853
2020-09-01,"8","Grand Prairie",3900
2020-09-01,"9","Irving",6261
2020-09-01,"10","Highland Hills",10
2020-09-01,"11","East Garland",4392
2020-09-01,"17","Northwest Highway",2919
2020-09-01,"24","North Dallas",5359
2020-09-01,"25","Ledbetter",8963
2020-09-01,"26","John West/Buckner",4189
2020-09-01,"30","Duncanville",2501
2020-09-01,"32","West Garland",4546
2020-09-01,"34","Medical District",233
2020-09-01,"37","Abrams Road",3707
2020-09-01,"39","Mesquite",3004
2020-10-01,"1","MLK Center",0
2020-10-01,"3","Westmoreland",3784
2020-10-01,"5","Lake June",7652
2020-10-01,"7","Carrollton",1894
2020-10-01,"8","Grand Prairie",3915
2020-10-01,"9","Irving",6428
2020-10-01,"10","Highland Hills",4
2020-10-01,"11","East Garland",4402
2020-10-01,"17","Northwest Highway",2902
2020-10-01,"24","North Dallas",5373
2020-10-01,"25","Ledbetter",8937
